product_name,description,overall_rating,brand,main_category,sentiment
The Cranberry Club Girl's Gathered Dress,the cranberry club girl's gathered dress - buy orange the cranberry club girl's gathered dress for only rs. 1299 online in india. shop online for apparels. huge collection of branded clothes only at flipkart.com,5.0,Unknown,Clothing,positive
Hichkii Casual Cape Sleeve Embroidered Women's Top,hichkii casual cape sleeve embroidered women's top - buy off-white hichkii casual cape sleeve embroidered women's top for only rs. 799 online in india. shop online for apparels. huge collection of branded clothes only at flipkart.com,4.5,Unknown,Clothing,positive
Clara Certified Katela 3 cts or 3.25 ratti 4 Prongs Sterling Silver Amethyst Ring,"clara certified katela 3 cts or 3.25 ratti 4 prongs sterling silver amethyst ring
                         price: rs. 1,570
				
			bis hallmarked 925 silver ring is artistically made according to the astrological needs. gemstone is left open from the back side for rays to pass through and reach finger properly. high quality making in our own state-of-the-art manufacturing unit gives this ring a beautiful look. gemstone certified by a govt recognised laboratory. silver hallmarked by bis.
bis hallmarked 925 silver ring is artistically made according to the astrological needs. gemstone is left open from the back side for rays to pass through and reach finger properly. high quality making in our own state-of-the-art manufacturing unit gives this ring a beautiful look. gemstone certified by a govt recognised laboratory. silver hallmarked by bis.",4.0,Clara,Jewellery,positive
PrettyPataka Party Full Sleeve Woven Women's Top,"prettypataka party full sleeve woven women's top
                         price: rs. 899
				
			summer tops that will make you embellish in the crowd and make everyone jealous.
summer tops that will make you embellish in the crowd and make everyone jealous.",3.5,Unknown,Clothing,neutral
"Urban Fashion Bank Casual, Party, Festive, Lounge Wear Sleeveless Embellished Women's Top","urban fashion bank casual, party, festive, lounge wear sleeveless embellished women's top - buy black urban fashion bank casual, party, festive, lounge wear sleeveless embellished women's top for only rs. 600 online in india. shop online for apparels. huge collection of branded clothes only at flipkart.com",3.0,Unknown,Clothing,neutral
Hangover Solid Round Neck Women's Sweater,hangover solid round neck women's sweater - buy cloudy sky hangover solid round neck women's sweater for only rs. 1599 online in india. shop online for apparels. huge collection of branded clothes only at flipkart.com,1.0,Unknown,Clothing,negative
TeeMoods Casual Full Sleeve Striped Women's Top,"teemoods casual full sleeve striped women's top - buy blue, grey teemoods casual full sleeve striped women's top for only rs. 999 online in india. shop online for apparels. huge collection of branded clothes only at flipkart.com",4.0,Unknown,Clothing,positive
Ditu&Kritu Warrior Aviator Sunglasses,ditu&kritu warrior aviator sunglasses - buy ditu&kritu warrior aviator sunglasses for only rs. 399 online in india. shop online for sunglasses.,4.7,Unknown,Sunglasses,positive
Claude Lorrain Black Casuals Shoes,claude lorrain black casuals shoes - buy claude lorrain black casuals shoes - cl-ac-wo-72 only for rs. 1299 from flipkart.com. only genuine products. 30 day replacement guarantee. free shipping. cash on delivery!,5.0,Unknown,Footwear,positive
Gritstones Solid Women's Track Pants,"gritstones solid women's track pants
                         price: rs. 499
				
			
	these drawstring capri track pants are perfect for the stylish and sporty girl. the fit is flattering to all body types and is sure to add that extra wow factor to your wardrobe. team these with a well fitted tee to complete the look.
these drawstring capri track pants are perfect for the stylish and sporty girl. the fit is flattering to all body types and is sure to add that extra wow factor to your wardrobe. team these with a well fitted tee to complete the look.",3.0,Unknown,Clothing,neutral
Gritstones Solid Women's Track Pants,"gritstones solid women's track pants
                         price: rs. 499
				
			
	let your sporty side out with these well fitted track pants which are sure to make heads turn. comfort and style are both achieved perfectly with this item. pair it with a well fitted tee or tank for that perfect sporty style.
let your sporty side out with these well fitted track pants which are sure to make heads turn. comfort and style are both achieved perfectly with this item. pair it with a well fitted tee or tank for that perfect sporty style.",3.0,Unknown,Clothing,neutral
Gritstones Solid Women's Track Pants,"gritstones solid women's track pants
                         price: rs. 499
				
			stylish and mod, these track pants are a must have item for every girls wardrobe. stand out of the crowd with the unique and exclusive side detailing.
stylish and mod, these track pants are a must have item for every girls wardrobe. stand out of the crowd with the unique and exclusive side detailing.",2.0,Unknown,Clothing,negative
Gritstones Solid Women's Track Pants,"gritstones solid women's track pants
                         price: rs. 499
				
			stylish and comfortable, these track pants are designed to suit all body types. the added stripe detailing makes it a trendy and glam and is a must have in your wardrobe.
stylish and comfortable, these track pants are designed to suit all body types. the added stripe detailing makes it a trendy and glam and is a must have in your wardrobe.",3.0,Unknown,Clothing,neutral
Ozel Studio Casual Full Sleeve Printed Women's Top,"ozel studio casual full sleeve printed women's top
                         price: rs. 591
				
			sheer bow printed top by ozel studio
sheer bow printed top by ozel studio",3.0,Unknown,Clothing,neutral
TeeMoods Casual Full Sleeve Striped Women's Top,"teemoods casual full sleeve striped women's top
                         price: rs. 699
				
			a stylish womens full sleeves top in stripes with v-neck. button design on neck. made in polyester cotton, is very comfortable to wear and is soft against the skin. fabric is stretachable, is body hugging. size: small-chest-30, length-25, sleeves-22; medium-chest-32, length-25.5, sleeves-22.5, large-chest-34, length-26, sleeves-23.
a stylish womens full sleeves top in stripes with v-neck. button design on neck. made in polyester cotton, is very comfortable to wear and is soft against the skin. fabric is stretachable, is body hugging. size: small-chest-30, length-25, sleeves-22; medium-chest-32, length-25.5, sleeves-22.5, large-chest-34, length-26, sleeves-23.",1.0,Unknown,Clothing,negative
Nishtaa Yellow Gold 22 K Ring,"nishtaa yellow gold 22 k ring
                         price: rs. 7,420
				
			nishtaa presents stunning range of rings in 22kt plain gold and swarovski cubic zirconia studded jewellery. light weight rings, where each piece of jewellery is crafted exquisitely to match the beauty and purity of feelings. light-weight ring helps express varying emotions ? whether at family functions, social occasions, or at the workplace. all nishtaa products are 916 hallmarked and bis certified. all nishtaa products come with a jewellery box and guarantee card.
nishtaa presents stunning range of rings in 22kt plain gold and swarovski cubic zirconia studded jewellery. light weight rings, where each piece of jewellery is crafted exquisitely to match the beauty and purity of feelings. light-weight ring helps express varying emotions ? whether at family functions, social occasions, or at the workplace. all nishtaa products are 916 hallmarked and bis certified. all nishtaa products come with a jewellery box and guarantee card.",5.0,Nishtaa,Jewellery,positive
BownBee Girl's Gathered Dress,bownbee girl's gathered dress - buy blue bownbee girl's gathered dress for only rs. 999 online in india. shop online for apparels. huge collection of branded clothes only at flipkart.com,5.0,Unknown,Clothing,positive
Fundoo T Full Sleeve Solid Men's Sweatshirt,"fundoo t full sleeve solid men's sweatshirt
                         price: rs. 749
				
			fundoo t sweatshirt are style and comfort come stylished together in this trendy sweatshirt.its just the right choice to keep you warm and in style this season.
fundoo t sweatshirt are style and comfort come stylished together in this trendy sweatshirt.its just the right choice to keep you warm and in style this season.",5.0,Unknown,Clothing,positive
Herberto Girl's A-line Dress,herberto girl's a-line dress - buy pink herberto girl's a-line dress for only rs. 1599 online in india. shop online for apparels. huge collection of branded clothes only at flipkart.com,4.0,Unknown,Clothing,positive
Cation Casual 3/4 Sleeve Solid Women's Top,"cation casual 3/4 sleeve solid women's top - buy black, blue cation casual 3/4 sleeve solid women's top for only rs. 1998 online in india. shop online for apparels. huge collection of branded clothes only at flipkart.com",2.0,Unknown,Clothing,negative
Bells And Whistles Striped Round Neck Boy's Sweater,bells and whistles striped round neck boy's sweater - buy orange bells and whistles striped round neck boy's sweater for only rs. 1099 online in india. shop online for apparels. huge collection of branded clothes only at flipkart.com,5.0,Unknown,Clothing,positive
Betty Girl's Maxi Dress,"betty girl's maxi dress
                         price: rs. 1,995
				
			party wear gown, fabric - polyester, sleeves -separate mega sleeves, neck - v neck, wash care - dry clean only.
party wear gown, fabric - polyester, sleeves -separate mega sleeves, neck - v neck, wash care - dry clean only.",5.0,Unknown,Clothing,positive
Cation Casual 3/4 Sleeve Solid Women's Top,cation casual 3/4 sleeve solid women's top - buy green cation casual 3/4 sleeve solid women's top for only rs. 1400 online in india. shop online for apparels. huge collection of branded clothes only at flipkart.com,3.0,Unknown,Clothing,neutral
Yepme Women Flats,"yepme women flats
                         price: rs. 199
				
			flaunt a style that is chic, comfortable and ultramodern with an inclusion of this pair of sandals to your ensemble. 

this pair is designed with vibrant detailing, featuring a y-styled strap that is made of synthetic material.

bring home and match with matching crop top and short skirts for an unmatched look.
flaunt a style that is chic, comfortable and ultramodern with an inclusion of this pair of sandals to your ensemble. 

this pair is designed with vibrant detailing, featuring a y-styled strap that is made of synthetic material.

bring home and match with matching crop top and short skirts for an unmatched look.",3.0,Unknown,Footwear,neutral
Stilestreet Casual Short Sleeve Solid Women's Top,"stilestreet casual short sleeve solid women's top
                         price: rs. 449
				
			get in touch with your feminine side as you wear this top from the house of stile street, pair this top with black and beige trousers to get endless compliments.
get in touch with your feminine side as you wear this top from the house of stile street, pair this top with black and beige trousers to get endless compliments.",4.0,Unknown,Clothing,positive
Anaya Women Heels,"anaya women heels
                         price: rs. 699
				
			decent black color sandal for decent women's in three inch heel
decent black color sandal for decent women's in three inch heel",4.8,Unknown,Footwear,positive
Beebay Girl's A-line Dress,"beebay girl's a-line dress
                         price: rs. 399
				
			we offers this cute sleeveless hound-tooth weave tunic dress with contrast coral piping. crafted from cotton this frock ensures utmost comfort to your princess. this frock is an ideal choice for a fun filled evening.
we offers this cute sleeveless hound-tooth weave tunic dress with contrast coral piping. crafted from cotton this frock ensures utmost comfort to your princess. this frock is an ideal choice for a fun filled evening.",4.0,Unknown,Clothing,positive
Alibi Casual Short Sleeve Solid Women's Top,"alibi casual short sleeve solid women's top
                         price: rs. 417
				
			this versatile, solid yellow, women's top from alibi is a must have in your wardrobe. it comes with a v-neck and half sleeves. it also has gathered highlights on the shoulders. made of polyester, this top pairs well with dark coloured pants or skirts.
this versatile, solid yellow, women's top from alibi is a must have in your wardrobe. it comes with a v-neck and half sleeves. it also has gathered highlights on the shoulders. made of polyester, this top pairs well with dark coloured pants or skirts.",2.0,Unknown,Clothing,negative
The Vanca Casual 3/4 Sleeve Solid Women's Top,"the vanca casual 3/4 sleeve solid women's top
                         price: rs. 571
				
			fuchsia color casual top with overlapping and smoking detail- 3/4th sleeves
fuchsia color casual top with overlapping and smoking detail- 3/4th sleeves",3.0,Unknown,Clothing,neutral
Aaliya Festive Full Sleeve Self Design Women's Top,"aaliya festive full sleeve self design women's top
                         price: rs. 850
				
			crochet lace inserts in between fabric panels, you can imagine the work it took to put this together. a must have.
crochet lace inserts in between fabric panels, you can imagine the work it took to put this together. a must have.",2.7,Unknown,Clothing,neutral
"Imported Banknote Tester, ball pen Permanent Alcohol Dye Base Marker","specifications of imported banknote tester, ball pen permanent alcohol dye base marker (set of 1, black) general brand imported model name fy-2288# replaceable refill no marker features marker type permanent alcohol dye base tip features tip design banknote tester, ball pen in the box 1 pen",5.0,Imported,Pens & Stationery,positive
Autofurnish Car Cover For Santro Xing,specifications of autofurnish car cover for santro xing general brand autofurnish vehicle model name santro xing model number af20177 vehicle brand hyundai shade silver material cloth universal fit no color silver in the box car body cover,2.4,Autofurnish,Automotive,neutral
INDIANO Loafers,specifications of indiano loafers general occasion casual ideal for women shoe details heel height 0 inch outer material synthetic leather color tan,5.0,INDIANO,Footwear,positive
Rainfun Car Cover For 800,"specifications of rainfun car cover for 800 (without mirror pockets) general brand rainfun model year na used for indoor, outdoor uv ray protection yes shade silver weather resistant yes material polyester side mirror pockets no universal fit no color silver suitable for 800 vehicle model name 800 model number rf7090 vehicle brand maruti additional features hand made no other features it is made by silver matty polyester cloth with double stiching which will give it a long life and will protect your vehicle in all wheather condition.no anteena space in this cover in the box 1 car cover",3.3,Rainfun,Automotive,neutral
Adidas Solid Men's Track Top,"specifications of adidas solid men's track top track top details sleeve full sleeve closure zipper fabric cotton, polyester pockets kangaroo pockets at front design logo on chest general details pattern solid ideal for men's occasion sports fabric care machine wash as per tag, do not dry clean, do not bleach, iron steam or dry as per tag additional details other details hooded style code ess premfz hood blue",1.0,Adidas,Clothing,negative
Prime Printed 6 Seater Table Cover,"key features of prime printed 6 seater table cover length 78 inch/198 cm width 54 inch/137 cm,prime printed 6 seater table cover (multicolor, pvc) price: rs. 849 prime dining table cover printed 6 seater,specifications of prime printed 6 seater table cover (multicolor, pvc) in the box number of contents in sales package pack of 1 general brand prime type table cover model name p272 material pvc model id 272 color multicolor dimensions weight 450 g length 78 inch / 198 cm width 54 inch / 137 cm seating capacity 6 seater",5.0,Prime,Home Furnishing,positive
Prime Printed 8 Seater Table Cover,"key features of prime printed 8 seater table cover length 90 inch/228 cm width 60 inch/152 cm,prime printed 8 seater table cover (multicolor, pvc) price: rs. 899 prime dining table cover printed 8 seater,specifications of prime printed 8 seater table cover (multicolor, pvc) in the box number of contents in sales package pack of 1 general brand prime type table cover model name 290p material pvc model id 290 color multicolor dimensions weight 550 g length 90 inch / 228 cm width 60 inch / 152 cm seating capacity 8 seater",5.0,Prime,Home Furnishing,positive
Speedo Men's Swimsuit,specifications of speedo men's swimsuit general details occasion sports ideal for men's,4.0,Speedo,Clothing,positive
Spangel Fashion Audi Style Alloy Mangalsutra,"key features of spangel fashion audi style alloy mangalsutra spangel fashion present by new audi style  gold plated mangal suthra,specifications of spangel fashion audi style alloy mangalsutra pearl features pearl type na silver features silver weight 0 g general base material alloy brand spangel fashion precious/artificial jewellery fashion jewellery model number audi001 plating 23k yellow gold type mangalsutra model name audi style color gold chain features chain included yes diamond features diamond weight 0 carat diamond shape na design & features gemstone na additional features certification na in the box sales package 1 mangalsutra",5.0,Spangel Fashion,Jewellery,positive
Mee Mee Women's Maternity Panty,"key features of mee mee women's maternity panty made of premium quality soft 90% cotton and 10% spandex fabrics. breathable fabric that is gentle on the skin and stretchable, with a comfy fit. provides support to lower back & abdominal area, reduces pressure on pelvic muscles. fits the growing belly during pregnancy and comfy to wear during post-pregnancy till mother loses inches. clean, seamless lines are invisible under all clothes and allows mother ease of movement.,mee mee women's maternity panty (pack of 2) price: rs. 358 pregnant mothers need lingerie that support and adapt to their growing curves. mee mee's soft maternity support panty provides a clean, seamless fit to every mommy-to-be. the stretchable fabric provides mothers with ease of movement even in the post-pregnancy stage. the design of the panty supports the abdominal area and the lower back and also gives respite from pressure in the pelvic muscles.,specifications of mee mee women's maternity panty (pack of 2) panty details number of contents in sales package pack of 2 fabric knits type maternity general details pattern solid ideal for women's in the box 2 panty",1.0,Mee Mee,Clothing,negative
knp enterprise Audi Style Alloy Mangalsutra,"key features of knp enterprise audi style alloy mangalsutra knp enterprise present by new audi style gold plated mangal sutha,specifications of knp enterprise audi style alloy mangalsutra pearl features pearl type na general base material alloy brand knp enterprise model number 1 precious/artificial jewellery fashion jewellery plating 22k yellow gold type mangalsutra model name audi style color gold silver features silver weight 0 g chain features chain included yes diamond features diamond weight 0 carat diamond shape na design & features gemstone na in the box sales package 1 mangalsutra additional features certification na",5.0,knp enterprise,Jewellery,positive
